Date : 2026-03-23 21:58:14
Directory : /home/ysy/Code/My_OS
Total : 161 files,  -380 codes, 32 comments, -105 blanks, all -453 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| /home/ysy/Code/My_OS/src/kernel/clock.c                  | C              |        112 |          7 |         29 |        148 |
| /home/ysy/Code/My_OS/src/kernel/console.c                | C              |        261 |         33 |         38 |        332 |
| /home/ysy/Code/My_OS/src/kernel/debug.c                  | C              |         11 |          0 |          2 |         13 |
| /home/ysy/Code/My_OS/src/kernel/device.c                 | C              |        132 |         23 |         24 |        179 |
| /home/ysy/Code/My_OS/src/kernel/devicetree.c             | C              |        137 |          7 |         22 |        166 |
| /home/ysy/Code/My_OS/src/kernel/gate.c                   | C              |         59 |          4 |         13 |         76 |
| /home/ysy/Code/My_OS/src/kernel/global.c                 | C              |         68 |          3 |         13 |         84 |
| /home/ysy/Code/My_OS/src/kernel/ide.c                    | C              |        384 |         43 |         64 |        491 |
| /home/ysy/Code/My_OS/src/kernel/interrupt.c              | C              |        255 |         38 |         51 |        344 |
| /home/ysy/Code/My_OS/src/kernel/keyboard.c               | C              |        372 |         13 |         48 |        433 |
| /home/ysy/Code/My_OS/src/kernel/main.c                   | C              |         37 |          1 |          5 |         43 |
| /home/ysy/Code/My_OS/src/kernel/memory.c                 | C              |        432 |         50 |         91 |        573 |
| /home/ysy/Code/My_OS/src/kernel/mutex.c                  | C              |         62 |          8 |         18 |         88 |
| /home/ysy/Code/My_OS/src/kernel/nvme.c                   | C              |        472 |         60 |         99 |        631 |
| /home/ysy/Code/My_OS/src/kernel/pci.c                    | C              |         84 |         13 |         20 |        117 |
| /home/ysy/Code/My_OS/src/kernel/printk.c                 | C              |         15 |          0 |          3 |         18 |
| /home/ysy/Code/My_OS/src/kernel/rtc.c                    | C              |         91 |         10 |         23 |        124 |
| /home/ysy/Code/My_OS/src/kernel/task.c                   | C              |        331 |         26 |         84 |        441 |
| /home/ysy/Code/My_OS/src/kernel/thread.c                 | C              |         41 |          3 |          6 |         50 |
| /home/ysy/Code/My_OS/src/kernel/time.c                   | C              |        139 |         10 |         27 |        176 |
| /home/ysy/Code/My_OS/src/lib/bitmap.c                    | C              |         55 |          8 |         19 |         82 |
| /home/ysy/Code/My_OS/src/lib/fifo.c                      | C              |         38 |          0 |          7 |         45 |
| /home/ysy/Code/My_OS/src/lib/list.c                      | C              |         97 |         13 |         23 |        133 |
| /home/ysy/Code/My_OS/src/lib/printf.c                    | C              |         14 |          0 |          8 |         22 |
| /home/ysy/Code/My_OS/src/lib/stdlib.c                    | C              |         45 |          6 |         10 |         61 |
| /home/ysy/Code/My_OS/src/lib/string.c                    | C              |        176 |          2 |         16 |        194 |
| /home/ysy/Code/My_OS/src/lib/syscall.c                   | C              |         70 |          2 |         16 |         88 |
| /home/ysy/Code/My_OS/src/lib/vsprintf.c                  | C              |        285 |         81 |         50 |        416 |
| /home/ysy/Code/My_OS/src/utils/cdrok.mk                  | Makefile       |         24 |          5 |          6 |         35 |
| /home/ysy/Code/My_OS/src/utils/cmd.mk                    | Makefile       |         23 |         13 |          9 |         45 |
| /home/ysy/Code/My_OS/src/utils/grub.cfg                  | Properties     |          5 |          0 |          1 |          6 |
| /home/ysy/Code/My_OS/src/utils/image.mk                  | Makefile       |         71 |          3 |         10 |         84 |
| /home/ysy/Code/My_OS/test/makefile                       | Makefile       |         14 |          8 |          4 |         26 |
| /home/ysy/Code/My_OS/test/param.c                        | C              |         10 |          0 |          2 |         12 |
| /home/ysy/Code/My_OS/test/types.c                        | C              |         27 |          0 |          5 |         32 |
| /home/ysy/code/Os_wrtie/bochs/share/doc/bochs/slirp.conf | Properties     |          0 |        -49 |         -8 |        -57 |
| /home/ysy/code/Os_wrtie/bochs/share/doc/bochs/vnet.conf  | Properties     |          0 |        -21 |         -4 |        -25 |
| /home/ysy/code/Os_wrtie/build/debug.log                  | Log            |          0 |          0 |         -1 |         -1 |
| /home/ysy/code/Os_wrtie/build/iso/boot/grub/grub.cfg     | Properties     |         -5 |          0 |         -1 |         -6 |
| /home/ysy/code/Os_wrtie/build/serial.log                 | Log            |         -6 |          0 |         -5 |        -11 |
| /home/ysy/code/Os_wrtie/docs/arm_porting.md              | Markdown       |        -86 |          0 |        -18 |       -104 |
| /home/ysy/code/Os_wrtie/src/Makefile                     | Makefile       |       -138 |         -2 |        -30 |       -170 |
| /home/ysy/code/Os_wrtie/src/boot/boot.asm                | Assembler file |       -102 |          0 |        -26 |       -128 |
| /home/ysy/code/Os_wrtie/src/boot/loader.asm              | Assembler file |       -154 |          0 |        -44 |       -198 |
| /home/ysy/code/Os_wrtie/src/bx_enh_dbg.ini               | Ini            |        -26 |          0 |         -1 |        -27 |
| /home/ysy/code/Os_wrtie/src/cdrok.mk                     | Makefile       |        -28 |         -5 |         -7 |        -40 |
| /home/ysy/code/Os_wrtie/src/devicetree/device.dts        | DeviceTree     |        -69 |         -8 |        -11 |        -88 |
| /home/ysy/code/Os_wrtie/src/include/onix/apic.h          | C++            |        -41 |         -8 |        -17 |        -66 |
| /home/ysy/code/Os_wrtie/src/include/onix/arena.h         | C              |        -20 |         -2 |         -7 |        -29 |
| /home/ysy/code/Os_wrtie/src/include/onix/assert.h        | C              |        -10 |          0 |         -4 |        -14 |
| /home/ysy/code/Os_wrtie/src/include/onix/bitmap.h        | C++            |        -15 |          0 |         -9 |        -24 |
| /home/ysy/code/Os_wrtie/src/include/onix/console.h       | C              |         -6 |         -1 |         -4 |        -11 |
| /home/ysy/code/Os_wrtie/src/include/onix/debug.h         | C              |         -6 |         -1 |         -6 |        -13 |
| /home/ysy/code/Os_wrtie/src/include/onix/device.h        | C++            |        -57 |         -6 |        -11 |        -74 |
| /home/ysy/code/Os_wrtie/src/include/onix/devicetree.h    | C++            |         -9 |         -7 |         -8 |        -24 |
| /home/ysy/code/Os_wrtie/src/include/onix/fifo.h          | C++            |        -16 |          0 |         -4 |        -20 |
| /home/ysy/code/Os_wrtie/src/include/onix/global.h        | C              |        -78 |         -5 |        -12 |        -95 |
| /home/ysy/code/Os_wrtie/src/include/onix/ide.h           | C++            |        -63 |         -2 |        -11 |        -76 |
| /home/ysy/code/Os_wrtie/src/include/onix/interrupt.h     | C              |        -44 |        -26 |        -10 |        -80 |
| /home/ysy/code/Os_wrtie/src/include/onix/io.h            | C++            |        -10 |          0 |         -4 |        -14 |
| /home/ysy/code/Os_wrtie/src/include/onix/list.h          | C++            |        -30 |         -2 |        -12 |        -44 |
| /home/ysy/code/Os_wrtie/src/include/onix/memory.h        | C              |        -50 |         -2 |        -11 |        -63 |
| /home/ysy/code/Os_wrtie/src/include/onix/mmio.h          | C++            |        -37 |         -7 |         -9 |        -53 |
| /home/ysy/code/Os_wrtie/src/include/onix/multiboot2.h    | C              |        -29 |         -3 |         -9 |        -41 |
| /home/ysy/code/Os_wrtie/src/include/onix/mutex.h         | C              |        -20 |         -3 |         -8 |        -31 |
| /home/ysy/code/Os_wrtie/src/include/onix/nvme.h          | C++            |        -73 |         -4 |        -16 |        -93 |
| /home/ysy/code/Os_wrtie/src/include/onix/onix.h          | C              |         -5 |          0 |         -3 |         -8 |
| /home/ysy/code/Os_wrtie/src/include/onix/pci.h           | C++            |        -12 |         -3 |         -8 |        -23 |
| /home/ysy/code/Os_wrtie/src/include/onix/printk.h        | C++            |         -4 |          0 |         -2 |         -6 |
| /home/ysy/code/Os_wrtie/src/include/onix/rtc.h           | C++            |        -33 |         -4 |         -9 |        -46 |
| /home/ysy/code/Os_wrtie/src/include/onix/stdarg.h        | C++            |         -7 |          0 |         -4 |        -11 |
| /home/ysy/code/Os_wrtie/src/include/onix/stdio.h         | C              |         -7 |          0 |         -3 |        -10 |
| /home/ysy/code/Os_wrtie/src/include/onix/stdlib.h        | C++            |        -16 |          0 |         -9 |        -25 |
| /home/ysy/code/Os_wrtie/src/include/onix/string.h        | C++            |        -18 |          0 |         -4 |        -22 |
| /home/ysy/code/Os_wrtie/src/include/onix/syscall.h       | C++            |        -28 |          0 |         -6 |        -34 |
| /home/ysy/code/Os_wrtie/src/include/onix/task.h          | C++            |        -81 |         -3 |        -14 |        -98 |
| /home/ysy/code/Os_wrtie/src/include/onix/time.h          | C++            |        -20 |          0 |         -5 |        -25 |
| /home/ysy/code/Os_wrtie/src/include/onix/types.h         | C              |        -38 |         -3 |        -11 |        -52 |
